date,close_daily
2026-03-04 15:00:00,1.459
2026-03-05 15:00:00,1.482
2026-03-06 15:00:00,1.491
2026-03-09 15:00:00,1.465
2026-03-10 15:00:00,1.495
2026-03-11 15:00:00,1.477
2026-03-12 15:00:00,1.456
2026-03-13 15:00:00,1.45
2026-03-16 15:00:00,1.458
2026-03-17 15:00:00,1.428
2026-03-18 15:00:00,1.445
2026-03-19 15:00:00,1.411
2026-03-20 15:00:00,1.388
2026-03-23 15:00:00,1.329
2026-03-24 15:00:00,1.359
2026-03-25 15:00:00,1.385
2026-03-26 15:00:00,1.357
2026-03-27 15:00:00,1.37
2026-03-30 15:00:00,1.359
2026-03-31 15:00:00,1.324
2026-04-01 15:00:00,1.369
2026-04-02 15:00:00,1.33
2026-04-03 15:00:00,1.324
2026-04-07 15:00:00,1.342
2026-04-08 15:00:00,1.425
2026-04-09 15:00:00,1.415
2026-04-10 15:00:00,1.437
2026-04-13 15:00:00,1.448
2026-04-14 15:00:00,1.479
2026-04-15 15:00:00,1.482
2026-04-16 15:00:00,1.498
2026-04-17 15:00:00,1.499
2026-04-20 15:00:00,1.527
2026-04-21 15:00:00,1.504
2026-04-22 15:00:00,1.529
2026-04-23 15:00:00,1.508
2026-04-24 15:00:00,1.531
2026-04-27 15:00:00,1.591
2026-04-28 15:00:00,1.568
2026-04-29 15:00:00,1.575
2026-04-30 15:00:00,1.654
2026-05-06 15:00:00,1.744
2026-05-07 15:00:00,1.769
2026-05-08 15:00:00,1.727
2026-05-11 15:00:00,1.811
2026-05-12 15:00:00,1.816
2026-05-13 15:00:00,1.865
2026-05-14 15:00:00,1.815
2026-05-15 15:00:00,1.787
2026-05-18 15:00:00,1.803
2026-05-19 15:00:00,1.871
2026-05-20 15:00:00,1.931
2026-05-21 15:00:00,1.86
2026-05-22 15:00:00,1.887
2026-05-25 15:00:00,1.998
2026-05-26 15:00:00,1.968
2026-05-27 15:00:00,1.911
2026-05-28 15:00:00,1.942
2026-05-29 15:00:00,1.844
2026-06-01 15:00:00,1.754
2026-06-02 15:00:00,1.781
2026-06-03 15:00:00,1.823
2026-06-04 15:00:00,1.832
2026-06-05 15:00:00,1.763
2026-06-08 15:00:00,1.683
2026-06-09 15:00:00,1.755
2026-06-10 15:00:00,1.744
2026-06-11 15:00:00,1.756
2026-06-12 15:00:00,1.756
2026-06-15 15:00:00,1.844
2026-06-16 15:00:00,1.855
2026-06-17 15:00:00,1.939
2026-06-18 15:00:00,2.017
2026-06-22 15:00:00,2.056
2026-06-23 15:00:00,2.023
2026-06-24 15:00:00,2.096
2026-06-25 15:00:00,2.178
2026-06-26 15:00:00,2.133
2026-06-29 15:00:00,2.248
2026-06-30 15:00:00,2.344
2026-07-01 15:00:00,2.29
2026-07-02 15:00:00,2.119
2026-07-03 15:00:00,2.102
2026-07-06 15:00:00,2.116
2026-07-07 15:00:00,2.126
2026-07-08 15:00:00,2.145
2026-07-09 15:00:00,2.328
2026-07-10 15:00:00,2.209
2026-07-13 15:00:00,2.1
2026-07-14 15:00:00,2.125
2026-07-15 15:00:00,2.028
2026-07-16 15:00:00,1.945
2026-07-17 15:00:00,1.807
2026-07-20 15:00:00,1.815
2026-07-21 15:00:00,2.016
2026-07-22 15:00:00,1.955
2026-07-23 15:00:00,1.888
2026-07-24 15:00:00,1.885
2026-07-27 15:00:00,1.911
2026-07-28 15:00:00,1.785
2026-07-29 15:00:00,1.776
2026-07-30 15:00:00,1.669
2026-07-31 15:00:00,1.728
2026-08-03 15:00:00,1.636
2026-08-04 15:00:00,1.706
2026-08-05 15:00:00,1.786
2026-08-06 15:00:00,1.794
2026-08-07 15:00:00,1.84
2026-08-10 15:00:00,1.835
2026-08-11 15:00:00,1.806
2026-08-12 15:00:00,1.833
2026-08-13 15:00:00,1.812
2026-08-14 15:00:00,1.814
2026-08-17 15:00:00,1.888
2026-08-18 15:00:00,1.888
2026-08-19 15:00:00,1.761
2026-08-20 15:00:00,1.744
2026-08-21 15:00:00,1.745
2026-08-24 15:00:00,1.691
2026-08-25 15:00:00,1.693
2026-08-26 15:00:00,1.721
2026-08-27 15:00:00,1.788
